roll,name,email,enrolled,exam1,exam2,exam3,exam4
1,VivaanPatel,VivaanPatel@yahoo.com,04-03-2026,43,32,28,84
2,VivaanKumar,VivaanKumar@mail.codetrade.io,08-01-2026,26,42,44,79
3,AaravSingh,AaravSingh@sal.edu.in,26-02-2026,72,90,50,15
4,RohanKumar,RohanKumar@yahoo.com,13-03-2026,34,42,58,28
5,VivaanKumar,VivaanKumar@mail.codetrade.io,02-04-2026,59,92,48,20
6,MeeraShah,MeeraShah@sal.edu.in,21-01-2026,85,52,95,94
7,DiyaSingh,DiyaSingh@mail.codetrade.io,12-01-2026,99,44,52,25
8,PriyaShah,PriyaShah@sal.edu.in,13-03-2026,73,96,61,35
9,DiyaGupta,DiyaGupta@gmail.com,21-06-2026,49,97,24,92
10,RohanSingh,RohanSingh@gmail.com,29-04-2026,63,49,96,86
11,PriyaGupta,PriyaGupta@mail.codetrade.io,28-02-2026,19,55,66,49
12,VivaanSingh,VivaanSingh@yahoo.com,24-02-2026,98,78,65,97
13,MeeraMori,MeeraMori@yahoo.com,05-02-2026,46,86,83,48
14,KrishnaKumar,KrishnaKumar@yahoo.com,26-02-2026,32,80,78,26
15,AaravShah,AaravShah@gmail.com,10-06-2026,35,69,91,23
16,KrishnaKumar,KrishnaKumar@sal.edu.in,16-05-2026,47,85,16,29
17,AnanyaGupta,AnanyaGupta@mail.codetrade.io,17-03-2026,70,35,73,15
18,AnanyaMori,AnanyaMori@mail.codetrade.io,10-06-2026,53,96,79,92
19,PriyaMori,PriyaMori@yahoo.com,11-02-2026,84,82,15,91
20,DiyaMehta,DiyaMehta@mail.codetrade.io,29-01-2026,61,54,45,22
21,PriyaShah,PriyaShah@mail.codetrade.io,05-05-2026,23,83,31,31
22,MeeraMori,MeeraMori@yahoo.com,16-05-2026,92,69,42,84
23,PriyaJoshi,PriyaJoshi@sal.edu.in,21-06-2026,98,62,71,81
24,MeeraShah,MeeraShah@gmail.com,27-02-2026,23,58,17,90
25,PriyaSingh,PriyaSingh@mail.codetrade.io,19-01-2026,95,22,44,23
26,AaravGupta,AaravGupta@mail.codetrade.io,12-05-2026,45,50,100,77
27,PriyaMori,PriyaMori@sal.edu.in,04-03-2026,75,67,39,27
28,VivaanKumar,VivaanKumar@yahoo.com,19-04-2026,67,74,21,98
